,Códigodo fundo,Setor,Preço Atual,Liquidez Diária,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Média,DY (6M)Média,DY (12M)Média,DY Ano,Variação Preço,Rentab.Período,Rentab.Acumulada,PatrimônioLíq.,VPA,P/VPA,DYPatrimonial,VariaçãoPatrimonial,Rentab. Patr.no Período,Rentab. Patr.Acumulada,VacânciaFísica,VacânciaFinanceira,QuantidadeAtivos
10,BBFI11B,Lajes Corporativas,"R$ 2.512,00",189.0,"R$ 30,00","1,25%","3,83%","6,65%","12,58%","1,28%","1,11%","1,05%","3,83%","8,03%","9,39%","9,99%","R$ 328.167.088,99","R$ 2.524,36",100.0,,,,,"72,20%",,2
11,BBFO11,Títulos e Val. Mob.,"R$ 84,90",2767.0,"R$ 0,50","0,51%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,12%","2,51%","3,03%","4,76%","R$ 389.795.067,98","R$ 97,35",87.0,"0,60%","-0,38%","0,22%","0,22%",,,0
12,BBPO11,Lajes Corporativas,"R$ 116,01",16135.0,"R$ 1,08","0,93%","2,83%","5,27%","9,61%","0,94%","0,88%","0,80%","2,83%","2,38%","3,34%","3,84%","R$ 1.601.777.328,99","R$ 100,62",115.0,,,,,"0,00%","0,00%",64
13,BBRC11,Outros,"R$ 115,91",3082.0,"R$ 0,94","0,79%","2,31%","4,28%","8,33%","0,77%","0,71%","0,69%","2,31%","-1,51%","-0,73%","-3,93%","R$ 179.020.584,78","R$ 112,59",103.0,,,,,"5,40%","2,10%",20
14,BCFF11,Títulos e Val. Mob.,"R$ 85,15",69213.0,"R$ 0,56","0,65%","1,88%","3,58%","6,45%","0,63%","0,60%","0,54%","1,88%","-5,27%","-4,65%","-5,72%","R$ 1.711.037.350,87","R$ 83,21",102.0,,,,,,,0
15,BCIA11,Títulos e Val. Mob.,"R$ 101,79",5756.0,"R$ 0,64","0,61%","1,78%","3,43%","6,26%","0,59%","0,57%","0,52%","1,78%","-1,13%","-0,53%","-5,58%","R$ 420.274.460,00","R$ 113,01",90.0,,,,,,,0
16,BCRI11,Títulos e Val. Mob.,"R$ 118,06",10092.0,"R$ 1,15","1,01%","2,65%","5,62%","9,82%","0,88%","0,94%","0,82%","2,65%","0,50%","1,51%","-0,95%","R$ 472.146.976,85","R$ 107,31",110.0,,,,,,,0
17,BICR11,Títulos e Val. Mob.,"R$ 92,35",19.0,"R$ 0,28","0,29%","0,74%","1,50%","2,92%","0,25%","0,25%","0,24%","0,74%","-2,49%","-2,21%","-1,76%","R$ 49.337.389,46","R$ 98,67",94.0,,,,,,,0
18,BLCP11,Outros,"R$ 103,33",10.0,"R$ 0,68","0,65%","2,01%","4,14%","0,00%","0,67%","0,69%","0,00%","2,01%","2,04%","2,71%","1,79%","R$ 195.040.017,77","R$ 101,49",102.0,,,,,,,2
19,BLMC11,Outros,,,"R$ 0,33","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 9.934.269,90","R$ 99,34",,,,,,,,0
20,BLMG11,Outros,"R$ 104,98",1036.0,"R$ 0,73","0,69%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,38%","0,00%","0,69%","1,39%","R$ 189.043.776,02","R$ 99,50",106.0,,,,,"0,00%",,1
21,BLMR11,Títulos e Val. Mob.,"R$ 86,71",6602.0,"R$ 0,55","0,61%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,11%","-1,12%","-0,52%","-0,52%","R$ 243.581.512,70","R$ 95,37",91.0,,,,,,,0
22,BMLC11,Lajes Corporativas,"R$ 91,54",200.0,"R$ 0,51","0,55%","1,65%","3,68%","7,30%","0,55%","0,61%","0,61%","1,65%","-1,87%","-1,33%","-0,96%","R$ 106.682.383,60","R$ 106,85",86.0,,,,,"5,40%",,2
23,BNFS11,Outros,"R$ 122,60",478.0,"R$ 1,00","0,81%","2,42%","4,81%","9,36%","0,81%","0,80%","0,78%","2,42%","0,08%","0,89%","0,27%","R$ 71.868.624,94","R$ 102,67",119.0,,,,,,,18
24,BPFF11,Títulos e Val. Mob.,"R$ 77,20",20948.0,"R$ 0,57","0,74%","2,17%","4,11%","7,71%","0,72%","0,68%","0,64%","2,17%","-2,54%","-1,82%","-2,02%","R$ 382.326.190,25","R$ 85,11",91.0,,,,,,,0
25,BPML11,Shoppings,"R$ 98,94",3777.0,"R$ 0,61",,,,,,,,,,,,"R$ 593.265.060,03","R$ 137,81",72.0,,,,,"5,60%",,7
26,BRCO11,Logística,"R$ 109,74",24602.0,"R$ 0,54","0,48%","1,45%","2,83%","5,54%","0,48%","0,47%","0,46%","1,45%","-0,71%","-0,23%","-0,68%","R$ 1.602.722.548,57","R$ 108,45",101.0,,,,,"3,30%","0,00%",10
27,BRCR11,Híbrido,"R$ 84,28",35417.0,"R$ 0,46","0,54%","1,65%","3,31%","6,20%","0,55%","0,55%","0,52%","1,11%","-0,56%","-0,02%","0,54%","R$ 2.860.888.100,33","R$ 107,40",78.0,,,,,"21,20%","9,30%",14
28,BREV11,Híbrido,"R$ 107,77",1.0,"R$ 0,43","0,40%","1,02%","2,21%","0,00%","0,34%","0,37%","0,00%","1,02%","-0,95%","-0,56%","-5,08%","R$ 98.947.410,46","R$ 106,02",102.0,,,,,"21,00%",,12
29,BRLA11,Híbrido,,,"R$ 0,97","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 122.505.179,38","R$ 125,49",,,,,,,,0
30,BTAL11,Outros,"R$ 104,15",15271.0,"R$ 0,35","0,34%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,34%","0,00%","0,34%","0,34%","R$ 599.475.171,69","R$ 100,20",104.0,,,,,,,0
31,BTCR11,Títulos e Val. Mob.,"R$ 93,79",9509.0,"R$ 0,65","0,70%","2,01%","3,84%","6,48%","0,67%","0,64%","0,54%","2,01%","3,56%","4,28%","6,44%","R$ 465.032.643,90","R$ 96,68",97.0,,,,,,,0
32,BTLG11,Logística,"R$ 114,27",48584.0,"R$ 0,63","0,56%","1,60%","3,24%","6,06%","0,53%","0,54%","0,51%","1,60%","-1,73%","-1,18%","-3,77%","R$ 1.309.829.892,03","R$ 100,88",113.0,,,,,"0,00%","0,00%",12
33,BZLI11,Títulos e Val. Mob.,"R$ 14,70",44041.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,68%","0,68%","1,14%","R$ 438.444.330,80","R$ 11,54",127.0,,,,,,,0
34,CARE11,Híbrido,"R$ 0,74",848143.0,"R$ 0,00",,,,,,,,,,,,"R$ 289.227.548,05","R$ 1,62",46.0,,,,,,,0
35,CBOP11,Lajes Corporativas,"R$ 73,80",564.0,"R$ 0,49","0,63%","1,96%","4,42%","7,90%","0,65%","0,74%","0,66%","1,96%","3,53%","4,19%","8,91%","R$ 128.454.376,14","R$ 90,78",81.0,,,,,"10,37%","10,63%",1
36,CEOC11,Lajes Corporativas,"R$ 70,30",497.0,"R$ 0,45","0,64%","1,93%","3,68%","7,43%","0,64%","0,61%","0,62%","1,93%","1,24%","1,89%","1,19%","R$ 157.364.588,40","R$ 86,67",81.0,,,,,"0,00%",,1
37,CJCT11,Lajes Corporativas,"R$ 61,90",103.0,"R$ 0,00",,,,,,,,,,,,"R$ 182.926.242,57","R$ 67,50",92.0,,,,,"59,00%",,1
38,CNES11,Lajes Corporativas,"R$ 42,51",496.0,"R$ 0,08","0,18%","0,72%","1,82%","3,98%","0,24%","0,30%","0,33%","0,72%","-7,93%","-7,77%","-19,53%","R$ 270.777.027,80","R$ 91,81",46.0,,,,,"54,50%",,1
39,CPFF11,Híbrido,"R$ 82,58",14933.0,"R$ 0,75","0,90%","2,81%","5,53%","7,53%","0,94%","0,92%","0,63%","2,81%","0,02%","0,93%","0,52%","R$ 332.336.800,98","R$ 83,63",99.0,,,,,,,0
40,CPTS11,Títulos e Val. Mob.,"R$ 101,42",84242.0,"R$ 1,01","0,98%","3,04%","6,03%","10,28%","1,01%","1,00%","0,86%","3,04%","3,33%","4,34%","3,38%","R$ 1.748.061.798,94","R$ 95,11",107.0,,,,,,,0
41,CRFF11,Títulos e Val. Mob.,"R$ 77,39",2934.0,"R$ 0,50","0,62%","1,75%","3,26%","6,21%","0,58%","0,54%","0,52%","1,75%","-0,63%","-0,01%","-0,09%","R$ 63.928.580,03","R$ 92,64",84.0,,,,,,,0
42,CTXT11,Lajes Corporativas,"R$ 28,24",684.0,"R$ 0,05","0,17%","0,58%","2,41%","7,06%","0,19%","0,40%","0,59%","0,58%","-10,37%","-10,22%","-23,25%","R$ 125.469.665,32","R$ 48,36",58.0,,,,,"58,00%",,1
43,CVBI11,Títulos e Val. Mob.,"R$ 104,36",62032.0,"R$ 0,85","0,80%","3,08%","7,38%","11,41%","1,03%","1,23%","0,95%","3,08%","-2,97%","-2,19%","1,06%","R$ 596.133.216,06","R$ 100,07",104.0,,,,,,,0
44,CXCE11B,Outros,"R$ 96,38",352.0,"R$ 0,92","1,12%","3,05%","5,63%","10,56%","1,02%","0,94%","0,88%","3,05%","-5,64%","-4,58%","-17,49%","R$ 138.995.510,65","R$ 81,14",119.0,,,,,"0,00%",,1
45,CXRI11,Híbrido,"R$ 96,50",238.0,"R$ 0,60","0,59%","1,71%","3,21%","7,28%","0,57%","0,53%","0,61%","1,71%","0,47%","1,06%","-8,94%","R$ 148.670.811,49","R$ 94,35",102.0,,,,,,,0
46,CXTL11,Logística,"R$ 299,00",15.0,"R$ 2,73",,,,,,,,,,,,"R$ 33.983.424,56","R$ 634,05",47.0,,,,,"68,10%","71,10%",4
47,DEVA11,Títulos e Val. Mob.,"R$ 109,82",153089.0,"R$ 1,54","1,32%","3,74%","0,00%","0,00%","1,25%","0,00%","0,00%","3,74%","-2,31%","-1,03%","-15,67%","R$ 630.487.217,74","R$ 98,70",111.0,,,,,,,0
48,DMAC11,Residencial,"R$ 20,20",3167.0,"R$ 29,05","36,32%","37,99%","40,96%","45,22%","12,66%","6,83%","3,77%","39,24%","-23,09%","4,85%","2,99%","R$ 16.794.383,11","R$ 107,58",19.0,,,,,,,0
49,DOMC11,Lajes Corporativas,"R$ 439,00",42.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","4,35%","4,35%","-10,00%","R$ 263.546.411,18","R$ 107,84",407.0,,,,,"23,44%",,1
50,DRIT11B,Lajes Corporativas,"R$ 123,80",1.0,"R$ 0,36","0,30%","0,78%","1,76%","3,57%","0,26%","0,29%","0,30%","0,78%","0,00%","0,30%","-7,11%","R$ 60.795.124,28","R$ 131,23",94.0,,,,,"23,72%",,6
51,EDFO11B,Lajes Corporativas,"R$ 247,25",41.0,"R$ 1,31","0,53%","1,70%","3,48%","6,87%","0,57%","0,58%","0,57%","1,70%","-0,81%","-0,29%","0,84%","R$ 50.400.338,53","R$ 213,56",116.0,,,,,"6,96%",,1
52,EDGA11,Lajes Corporativas,"R$ 25,60",3706.0,"R$ 0,15","0,55%","1,55%","0,00%","0,00%","0,52%","0,00%","0,00%","1,55%","-0,23%","0,32%","-13,23%","R$ 300.073.035,69","R$ 78,72",33.0,,,,,"46,26%",,1
53,ERCR11,Híbrido,"R$ 90.000,00",1.0,"R$ 1,26",,,,,,,,,,,,"R$ 222.673.897,46","R$ 93.717,97",96.0,,,,,,,0
54,EURO11,Logística,"R$ 208,70",155.0,"R$ 1,35","0,66%","1,89%","4,09%","6,29%","0,63%","0,68%","0,52%","1,89%","-3,21%","-2,57%","-4,13%","R$ 108.776.379,98","R$ 283,32",74.0,,,,,"0,00%",,6
55,EVBI11,Híbrido,"R$ 104,75",9.0,"R$ 0,64","0,61%","1,19%","1,19%","1,19%","0,40%","0,20%","0,10%","1,19%","-4,20%","-3,61%","6,26%","R$ 105.838.049,81","R$ 97,78",107.0,,,,,,,0
56,FAED11,Outros,"R$ 162,00",455.0,"R$ 1,12","0,64%","2,03%","3,90%","7,38%","0,68%","0,65%","0,62%","2,03%","-9,08%","-8,50%","-9,85%","R$ 137.332.028,93","R$ 213,86",76.0,,,,,"0,00%",,3
57,FAMB11B,Lajes Corporativas,"R$ 1.210,00",46.0,"R$ 9,16","0,56%","2,17%","4,78%","10,43%","0,72%","0,80%","0,87%","8,82%","-47,80%","-47,51%","-47,80%","R$ 366.285.777,03","R$ 3.495,09",35.0,,,,,"100,00%",,1
58,FATN11,Híbrido,"R$ 102,50",509.0,"R$ 0,66","0,67%","1,93%","3,61%","6,75%","0,64%","0,60%","0,56%","1,93%","-4,85%","-4,21%","-0,19%","R$ 55.626.400,22","R$ 100,34",102.0,,,,,"0,00%",,7
59,FCFL11,Outros,"R$ 110,10",3604.0,"R$ 0,61","0,56%","1,60%","2,99%","5,99%","0,53%","0,50%","0,50%","1,60%","-2,22%","-1,68%","-1,28%","R$ 352.271.509,56","R$ 101,40",109.0,,,,,"0,00%",,1
60,FEXC11,Títulos e Val. Mob.,"R$ 93,89",5429.0,"R$ 1,02","1,07%","2,69%","4,34%","8,47%","0,90%","0,72%","0,71%","2,69%","1,76%","2,84%","3,53%","R$ 327.804.671,18","R$ 95,79",98.0,,,,,,,0
61,FIGS11,Shoppings,"R$ 60,28",5130.0,"R$ 0,10","0,17%","1,05%","2,29%","0,00%","0,35%","0,38%","0,00%","1,05%","-7,73%","-7,57%","-10,73%","R$ 268.691.469,02","R$ 94,28",64.0,,,,,"12,10%",,2
62,FIIB11,Híbrido,"R$ 498,03",1350.0,"R$ 3,10","0,62%","1,72%","3,25%","5,72%","0,57%","0,54%","0,48%","1,18%","-4,40%","-3,81%","-3,26%","R$ 303.120.333,38","R$ 442,51",113.0,,,,,"3,93%",,1
63,FIIP11B,Logística,"R$ 202,99",251.0,"R$ 1,28","0,64%","1,81%","2,96%","10,50%","0,60%","0,49%","0,87%","1,81%","-1,95%","-1,31%","-1,67%","R$ 179.055.986,30","R$ 193,12",105.0,,,,,"0,00%",,7
64,FIVN11,Shoppings,"R$ 3,12",835.0,"R$ 0,00","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 64.863.959,96","R$ 6,89",45.0,,,,,"56,00%",,1
65,FLMA11,Híbrido,"R$ 2,78",36759.0,"R$ 0,01","0,43%","1,20%","1,99%","3,11%","0,40%","0,33%","0,26%","1,20%","-2,85%","-2,43%","-7,90%","R$ 214.864.295,98","R$ 3,11",89.0,,,,,"6,00%",,2
66,FLRP11,Shoppings,"R$ 1.318,99",11.0,"R$ 5,65","0,43%","1,38%","2,40%","0,00%","0,46%","0,40%","0,00%","1,38%","0,00%","0,43%","0,61%","R$ 108.310.101,43","R$ 1.660,38",79.0,,,,,"2,06%",,1
67,FMOF11,Lajes Corporativas,"R$ 70,90",2.0,"R$ 0,64",,,,,,,,,,,,"R$ 67.144.159,73","R$ 132,17",54.0,,,,,"50,00%",,1
68,FPAB11,Lajes Corporativas,"R$ 271,00",18.0,"R$ 1,20","0,44%","1,27%","2,78%","6,44%","0,42%","0,46%","0,54%","1,27%","-1,12%","-0,68%","-7,30%","R$ 336.198.709,36","R$ 448,26",60.0,,,,,"39,76%",,1
69,FVPQ11,Shoppings,"R$ 139,03",372.0,"R$ 1,40","1,01%","1,43%","1,90%","5,13%","0,48%","0,32%","0,43%","1,38%","-3,11%","-2,13%","-1,77%","R$ 550.322.759,82","R$ 196,53",71.0,,,,,"5,80%",,1
70,GALG11,Híbrido,"R$ 111,81",12906.0,"R$ 0,84","0,74%","2,20%","0,00%","0,00%","0,73%","0,00%","0,00%","2,20%","-2,21%","-1,48%","4,04%","R$ 571.559.089,48","R$ 101,83",110.0,,,,,"0,00%","0,00%",6
71,GCFF11,Títulos e Val. Mob.,"R$ 95,80",1554.0,"R$ 0,92","0,94%","2,74%","5,36%","0,00%","0,91%","0,89%","0,00%","2,74%","-2,49%","-1,57%","7,03%","R$ 32.936.934,84","R$ 97,27",98.0,,,,,,,0
72,GGRC11,Logística,"R$ 122,33",14100.0,"R$ 0,68","0,54%","1,66%","3,20%","6,18%","0,55%","0,53%","0,51%","1,66%","-11,35%","-10,87%","-9,84%","R$ 965.944.774,11","R$ 124,50",98.0,,,,,"0,00%","0,00%",15
73,GRLV11,Logística,"R$ 145,50",54618.0,"R$ 0,17","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","60,81%","R$ 6.407.890,29","R$ 5,97",2438.0,,,,,"3,70%","3,40%",0
74,GSFI11,Shoppings,"R$ 4,10",3468.0,"R$ 0,00","0,03%","0,03%","0,03%","0,03%","0,01%","0,00%","0,00%","0,03%","0,00%","0,03%","0,03%","R$ 953.239.815,02","R$ 13,92",29.0,,,,,"9,60%",,10
75,GTWR11,Lajes Corporativas,"R$ 106,41",12104.0,"R$ 0,67","0,63%","1,89%","3,68%","7,22%","0,63%","0,61%","0,60%","1,89%","0,00%","0,63%","0,55%","R$ 1.209.548.145,81","R$ 100,80",106.0,,,,,"0,00%","0,00%",1
76,HABT11,Títulos e Val. Mob.,"R$ 121,14",19277.0,"R$ 1,50","1,25%","3,26%","7,15%","11,88%","1,09%","1,19%","0,99%","3,26%","-2,31%","-1,10%","-0,91%","R$ 547.290.224,41","R$ 101,12",120.0,,,,,,,0
77,HBRH11,Híbrido,"R$ 97,00",868.0,"R$ 0,67","0,67%","2,01%","4,06%","8,15%","0,67%","0,68%","0,68%","0,67%","0,00%","0,67%","0,67%","R$ 245.820.085,40","R$ 109,46",89.0,,,,,,,3
78,HCRI11,Hospital,"R$ 453,10",198.0,"R$ 3,08",,,,,,,,,,,,"R$ 60.625.329,85","R$ 303,13",149.0,,,,,"0,00%",,1
79,HCTR11,Outros,"R$ 146,54",51036.0,"R$ 2,00","1,33%","4,10%","9,06%","15,88%","1,37%","1,51%","1,32%","4,10%","0,09%","1,42%","0,42%","R$ 827.691.426,98","R$ 115,63",127.0,,,,,,,0
80,HFOF11,Títulos e Val. Mob.,"R$ 99,89",30393.0,"R$ 0,56","0,56%","1,62%","3,39%","7,26%","0,54%","0,57%","0,61%","1,62%","-2,57%","-2,03%","-1,81%","R$ 2.077.612.502,78","R$ 96,42",104.0,,,,,,,0
81,HGBS11,Shoppings,"R$ 202,35",8256.0,"R$ 0,40","0,20%","0,95%","1,73%","2,62%","0,32%","0,29%","0,22%","0,95%","-3,29%","-3,10%","-5,27%","R$ 2.200.209.177,42","R$ 220,02",92.0,,,,,"7,67%",,17
82,HGCR11,Títulos e Val. Mob.,"R$ 109,43",25652.0,"R$ 0,68","0,63%","1,82%","3,57%","6,57%","0,61%","0,60%","0,55%","1,82%","4,34%","5,00%","6,45%","R$ 1.295.007.398,86","R$ 104,67",105.0,,,,,,,0
83,HGFF11,Títulos e Val. Mob.,"R$ 87,26",7121.0,"R$ 0,55","0,60%","1,75%","3,88%","7,24%","0,58%","0,65%","0,60%","1,75%","-2,45%","-1,87%","-3,87%","R$ 277.317.662,35","R$ 96,84",90.0,,,,,,,0
84,HGLG11,Logística,"R$ 171,00",43348.0,"R$ 0,78","0,44%","1,31%","3,71%","6,21%","0,44%","0,62%","0,52%","1,31%","-1,68%","-1,25%","-0,75%","R$ 2.709.068.264,88","R$ 146,94",116.0,,,,,"15,20%","6,50%",17
85,HGPO11,Lajes Corporativas,"R$ 216,61",1249.0,"R$ 1,01","0,45%","1,33%","2,61%","5,23%","0,44%","0,44%","0,44%","1,33%","-2,45%","-2,00%","-2,43%","R$ 401.912.421,14","R$ 243,58",89.0,,,,,"1,73%","1,72%",2
86,HGRE11,Lajes Corporativas,"R$ 137,60",16745.0,"R$ 0,67","0,49%","1,39%","2,87%","5,37%","0,46%","0,48%","0,45%","1,39%","-6,89%","-6,43%","-6,85%","R$ 1.999.709.851,30","R$ 169,21",81.0,,,,,"23,42%","26,23%",21
87,HGRU11,Híbrido,"R$ 122,12",54874.0,"R$ 0,68","0,55%","1,61%","3,24%","6,53%","0,54%","0,54%","0,54%","1,61%","-3,21%","-2,68%","-2,17%","R$ 2.167.663.009,67","R$ 117,77",104.0,,,,,"0,00%","0,00%",16
88,HLOG11,Logística,"R$ 115,88",295.0,"R$ 0,63","0,54%","1,60%","3,30%","6,37%","0,53%","0,55%","0,53%","1,60%","-1,19%","-0,66%","-0,17%","R$ 509.246.269,02","R$ 119,82",97.0,,,,,"17,00%",,3
89,HMOC11,Shoppings,"R$ 226,95",115.0,"R$ 51,82","22,83%","23,71%","24,88%","25,51%","7,90%","4,15%","2,13%","23,71%","0,00%","22,83%","23,92%","R$ 91.223.530,50","R$ 238,79",95.0,"0,42%","0,12%","0,54%","0,96%","1,80%",,1
90,HMOC11,Shoppings,"R$ 226,95",115.0,"R$ 23,00","10,13%","11,02%","12,18%","12,81%","3,67%","2,03%","1,07%","11,02%","0,00%","10,13%","11,11%","R$ 91.223.530,50","R$ 238,79",95.0,"0,42%","0,12%","0,54%","0,96%","1,80%",,1
91,HMOC11,Shoppings,"R$ 226,95",115.0,"R$ 23,00","10,13%","11,02%","12,18%","12,81%","3,67%","2,03%","1,07%","11,02%","0,00%","10,13%","11,11%","R$ 91.223.530,50","R$ 238,79",95.0,"0,42%","0,12%","0,54%","0,96%","1,80%",,1
92,HMOC11,Shoppings,"R$ 226,95",115.0,"R$ 23,00","10,13%","11,02%","12,18%","12,81%","3,67%","2,03%","1,07%","11,02%","0,00%","10,13%","11,11%","R$ 91.223.530,50","R$ 238,79",95.0,"0,42%","0,12%","0,54%","0,96%","1,80%",,1
93,HMOC11,Shoppings,"R$ 226,95",115.0,"R$ 23,80","10,49%","11,37%","12,53%","13,16%","3,79%","2,09%","1,10%","11,37%","0,00%","10,49%","11,46%","R$ 91.223.530,50","R$ 238,79",95.0,"0,42%","0,12%","0,54%","0,96%","1,80%",,1
94,HOSI11,Híbrido,"R$ 80,95",47.0,"R$ 0,56","0,67%","1,90%","3,79%","0,00%","0,63%","0,63%","0,00%","1,33%","-1,90%","-1,24%","-0,59%","R$ 53.286.209,65","R$ 92,92",87.0,,,,,,,2
95,HPDP11,Shoppings,"R$ 82,87",91.0,"R$ 0,03","0,04%","0,63%","1,76%","2,89%","0,21%","0,29%","0,24%","0,63%","-5,17%","-5,13%","-3,02%","R$ 293.505.622,22","R$ 100,90",82.0,,,,,"3,40%",,1
96,HRDF11,Híbrido,"R$ 1,60",8469.0,"R$ 6,80",,,,,,,,,,,,"R$ 13.751.330,15","R$ 1,81",88.0,,,,,,,0
97,HREC11,Títulos e Val. Mob.,"R$ 102,74",23.0,"R$ 0,80","0,77%","1,50%","0,00%","0,00%","0,50%","0,00%","0,00%","1,50%","0,73%","1,50%","2,24%","R$ 87.571.342,35","R$ 97,09",106.0,,,,,,,0
98,HSAF11,Títulos e Val. Mob.,"R$ 101,60",7750.0,"R$ 1,10","1,10%","2,97%","4,40%","0,00%","0,99%","0,73%","0,00%","2,97%","1,82%","2,94%","9,23%","R$ 89.390.586,19","R$ 98,98",103.0,,,,,,,0
99,HSLG11,Logística,"R$ 107,01",25548.0,"R$ 0,58","0,52%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,55%","-1,69%","-1,18%","-1,10%","R$ 1.333.583.813,25","R$ 105,34",102.0,,,,,"4,60%",,5
100,HSML11,Shoppings,"R$ 87,85",26436.0,"R$ 0,16","0,18%","1,13%","2,67%","4,28%","0,38%","0,45%","0,36%","1,13%","-4,59%","-4,41%","-9,21%","R$ 1.533.108.424,80","R$ 97,15",90.0,,,,,"5,50%",,5
101,HSRE11,Híbrido,,,"R$ 0,27","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,"0,00%","0,00%","0,00%","R$ 826.773.844,92","R$ 97,06",,,,,,"0,00%",,2
102,HTMX11,Hotel,"R$ 105,39",1582.0,"R$ 0,00","0,00%","0,80%","2,20%","5,41%","0,27%","0,37%","0,45%","0,80%","-28,14%","-28,14%","-32,26%","R$ 164.514.258,92","R$ 130,88",81.0,,,,,"72,00%",,23
103,HUSC11,Outros,"R$ 133,00",87.0,"R$ 0,73","0,53%","1,48%","2,93%","5,10%","0,49%","0,49%","0,43%","1,48%","-10,73%","-10,25%","-9,33%","R$ 103.056.744,44","R$ 129,69",103.0,,,,,,,0
104,IBFF11,Títulos e Val. Mob.,"R$ 71,37",957.0,"R$ 0,39","0,53%","1,57%","3,22%","6,31%","0,52%","0,54%","0,53%","1,57%","-2,67%","-2,15%","-5,96%","R$ 56.959.683,31","R$ 85,44",84.0,,,,,,,0
